"ascendancy","fid"
4,"GHVL-B4K"
5,"GHK6-8WT"
6,"L6L2-JJB"
7,"LNKH-8TG"
8,"L4MN-TBX"
9,"KN3F-FT7"
10,"K2VH-PS9"
11,"KCPD-XRB"
12,"L6LW-6TT"
13,"L6LW-FCQ"
14,"GMGH-5D6"
15,"GMGH-26Q"
18,"G94M-6WK"
19,"L7F5-765"
20,"K2VH-2FN"
21,"LCPJ-CQ6"
22,"L2C8-Q7T"
23,"LVNN-V32"
24,"MWKV-8ST"
25,"KN1H-HLB"
26,"KC4P-BDG"
27,"KH6L-9FC"
28,"L8Q2-8WR"
29,"L8QF-2Z8"
30,"9687-7K6"
31,"K8FB-QKZ"
36,"LCVF-TC7"
37,"KLX1-TT9"
38,"KHD1-RBZ"
39,"2WN4-1MS"
40,"LHSQ-X2Y"
41,"LHQM-9CQ"
42,"LHZQ-PTC"
43,"LHZQ-59P"
44,"9N9J-FLS"
45,"L5N7-J8L"
46,"KCZ5-DBZ"
47,"KHDS-NZZ"
48,"L6LQ-3HW"
49,"L6LQ-3CG"
50,"KF3N-R3R"
51,"GMNS-73X"
52,"K8R2-H3H"
53,"K86G-1WX"
54,"LVS7-7KG"
55,"KH11-RNX"
56,"GMGN-855"
57,"L22M-VJB"
58,"KN4F-TVZ"
59,"KN4F-TVQ"
60,"LZKW-93N"
61,"275W-5DV"
62,"LV7Y-7QL"
63,"LV7Y-7ZR"
72,"LZ99-FTJ"
73,"KNFL-YY8"
74,"LJYC-2GH"
75,"94L2-7QN"
76,"9NT9-KKL"
77,"9NT9-KKG"
78,"2WN4-BY9"
79,"LHWX-NKH"
80,"LH36-XL7"
81,"LH36-X2L"
82,"MKG3-58R"
83,"2Z3B-HWV"
84,"LJK1-SS6"
85,"LDQ1-3D9"
86,"L5X6-32R"
87,"LCZ5-PJ7"
88,"LC4M-GRX"
89,"LC4M-LVK"
92,"9V3Z-S38"
93,"GMR3-Z31"
94,"LVK9-C36"
95,"LVK9-BJ1"
96,"L8BM-R6T"
97,"L6R8-SNV"
98,"L9PW-DY7"
99,"L9PW-8GL"
100,"935N-8ZS"
101,"935N-8ZG"
102,"2HMS-7W4"
103,"G7Y4-5QC"
104,"KZBV-4WN"
105,"KC78-K8K"
106,"G9XV-F55"
107,"KHWY-K2K"
108,"9WT6-2JF"
109,"LH8V-RD8"
110,"KFLD-LDY"
111,"2WCM-3JJ"
112,"KPSM-9XH"
113,"KPSM-9FX"
116,"KH3D-4X3"
117,"KNXW-KQB"
118,"KN4X-49B"
119,"KP3C-7Y9"
120,"LQ5V-L4F"
121,"G86V-Q6F"
126,"MXSD-538"
127,"LH3X-GLB"
144,"94D4-LHW"
145,"GZNF-C3R"
146,"LKMD-9J7"
147,"L7KM-LKT"
148,"LVG7-5VC"
149,"GF3F-HSP"
150,"G9VX-9JF"
151,"L6CV-QTZ"
152,"M7VJ-FJB"
153,"LWHV-QBT"
154,"G97G-1G9"
155,"G97P-9BL"
156,"KLLB-DFV"
157,"LRHV-YWK"
159,"L5F2-NHQ"
160,"MC3F-D8B"
161,"L4QP-K67"
162,"LSSS-PQ8"
163,"LCVG-84Z"
164,"LK5G-Q35"
165,"GFG4-JBF"
166,"LX3L-72S"
167,"GGH7-626"
168,"L68Z-527"
169,"L2W7-Z69"
170,"LVJK-Y44"
171,"LC38-G4K"
172,"M9SL-9K3"
173,"L83G-6GC"
174,"LCZ5-PNJ"
175,"KC83-QHM"
176,"L2SP-PKG"
177,"LBGW-TKC"
178,"LCJ2-9NP"
179,"L15W-ZPG"
192,"LCX4-VXL"
193,"L8DZ-3Q8"
196,"KJ8F-X6P"
197,"MNN8-YG3"
198,"L25V-72W"
200,"MB11-MC7"
201,"MB15-SBW"
202,"G8N8-NCK"
203,"G8N8-DVH"
204,"LCT2-DP6"
205,"L2MH-916"
208,"KN49-QXH"
209,"LH3F-1RB"
210,"2XM9-V33"
211,"LHT2-Q2L"
212,"KJJF-2MQ"
213,"KJJF-K61"
216,"LDJT-L6F"
217,"LDMN-RD8"
218,"KPWD-SBW"
219,"M73H-88T"
220,"93R2-HZ8"
221,"93R2-H8S"
222,"2W49-SNY"
223,"2W49-S24"
224,"KJZH-Y1L"
225,"KJZH-YBY"
226,"9CSY-9C2"
227,"LZPT-WQM"
232,"LC7P-GNN"
233,"9V8P-8PJ"
234,"KCMJ-FMF"
235,"LVGW-PJR"
236,"KN45-QTP"
237,"KN4F-TTS"
238,"LHQ7-ZWF"
239,"LHQ7-Z9G"
240,"LCP2-JHD"
241,"LCJN-NNL"
252,"KZVR-5R6"
253,"K8GB-96Q"
254,"K2JM-WDM"
255,"LH3X-P3L"
288,"LT2P-892"
289,"GN2S-FWH"
290,"LF7P-WWJ"
291,"KNWT-TPD"
292,"GW6J-918"
293,"LH57-NXR"
300,"L6C1-MB7"
301,"L6C1-QMY"
304,"LX3V-GQV"
305,"LHG8-43J"
306,"GNH1-STG"
307,"KN78-1BK"
308,"G97P-9D2"
312,"9J88-2PP"
313,"MBCS-6T1"
314,"LRQQ-RXN"
315,"9CKZ-WZV"
320,"2759-854"
321,"2759-XPY"
322,"9CJQ-HB2"
323,"L1DD-7FW"
324,"L8MB-C2W"
325,"L8MB-C2K"
326,"KJ8F-83C"
327,"L7XB-2CB"
328,"L29Z-B1X"
329,"L29Z-1SM"
332,"L24Y-BMB"
336,"LBYV-BRF"
337,"LJGB-5PH"
338,"LDKP-XSK"
339,"L4TY-77X"
342,"MYJQ-NKS"
343,"GHVC-X3D"
344,"LXMW-YN3"
345,"LZ8S-37Y"
346,"LBYV-BRF"
347,"LJGB-5PH"
352,"LZLC-1N1"
353,"LBG4-QCJ"
354,"L2GX-YL4"
355,"LVGT-VR4"
356,"LH5Y-DPG"
357,"GM7D-VJR"
358,"KZCQ-TNT"
359,"MY7K-ZJW"
384,"LZPL-844"
385,"L65X-NZV"
386,"LYTC-KG6"
387,"LKRN-CPF"
392,"KFB8-FTV"
393,"LC65-WB3"
394,"KGCB-6W3"
395,"9HCD-B98"
400,"LZTK-CY2"
401,"M1QX-XHD"
402,"9KQV-4VG"
403,"9KQV-ZQW"
410,"9F4S-LRC"
411,"L62D-87C"
416,"LK34-3DJ"
417,"2WMN-81N"
418,"LH3F-15C"
419,"LH3F-1GB"
420,"LH3F-15C"
421,"LH3F-1GB"
422,"KD1R-2KC"
423,"KZYZ-WSY"
424,"L7BY-S6Y"
425,"LZ6L-T97"
426,"MF7Y-X2S"
427,"KLXL-ZTM"
436,"GHYT-BYQ"
437,"MR43-7MB"
438,"M73H-C5N"
439,"L4MT-9SK"
440,"93R2-H8R"
441,"93R2-HDV"
444,"29WT-FSD"
445,"29WT-X1G"
446,"KCGJ-3RV"
447,"K63J-KZ5"
448,"MCD7-4W7"
449,"LZDX-C2B"
450,"LK3B-L1B"
451,"LK3B-G4Y"
452,"LHTV-TZV"
453,"LHTV-TC7"
454,"L7NL-98X"
455,"LKR2-GT7"
464,"L4BK-YP3"
465,"LC7P-L18"
466,"LZLK-QR5"
467,"LHNS-XK3"
468,"LCTG-JQ2"
469,"LCMF-R4D"
470,"9HZB-X72"
471,"L6ZX-D4Y"
472,"LCZM-2BH"
473,"MR1L-1CV"
474,"L623-3HW"
475,"H97F-YDS"
476,"LHW2-XDM"
477,"LYG8-BMH"
480,"LHY9-6FP"
481,"L6M4-Z1K"
482,"LVVH-QKS"
483,"LZYR-HQ1"
508,"L6RT-7RF"
509,"LVL6-1Y5"
580,"LZLK-S2W"
581,"LZLK-338"
584,"LKMD-4XZ"
585,"KVBG-CVS"
586,"MVMR-8PM"
587,"L4BT-1XB"
600,"K2QL-87C"
601,"LV67-FMJ"
602,"LTR4-NNY"
608,"LZV6-5K2"
609,"GL61-WLZ"
624,"GX9D-MPX"
625,"9J8C-TPW"
626,"GDW4-NCQ"
627,"LYYR-MVK"
628,"LZKF-2YT"
629,"LLSC-98W"
630,"LC1B-1GV"
631,"9CKZ-WZ2"
640,"KHXT-DWP"
641,"LRDF-9WJ"
642,"M9VB-ZZP"
643,"G3JS-LB5"
648,"LZ23-6ZM"
649,"M2Z7-CJ3"
650,"LDF6-ZR9"
651,"L1R4-RH6"
652,"L5RT-PMJ"
653,"G4X2-PMC"
654,"L8MB-C2W"
655,"L8MB-C2K"
656,"L62C-Z8Z"
657,"9Q1F-B91"
658,"GD4Q-44Q"
664,"GQCG-C8G"
665,"GQCP-Q3R"
672,"LJYJ-2GM"
673,"LCXS-2CJ"
674,"L6JV-CNK"
675,"GNW6-SRD"
676,"GCZN-D6H"
677,"9ZSS-XGH"
678,"GMW2-92X"
679,"LC8H-F4S"
684,"GN29-QLP"
685,"LZXR-ZQN"
686,"L5BQ-TGL"
687,"2MJ7-996"
688,"LV2Y-844"
689,"GKYJ-4LD"
690,"LB7J-9BY"
691,"G8B4-44T"
692,"LJYJ-2GM"
693,"LCXS-2CJ"
694,"L6JV-CNK"
695,"GNW6-SRD"
704,"LRM2-PL9"
705,"M9B1-JKC"
706,"LCPL-WPW"
707,"LDMW-9JN"
710,"9JDW-SG6"
716,"GGX8-C8D"
768,"MLHB-YRP"
769,"GS4K-LHH"
772,"LHGD-KNS"
773,"LZBP-SWM"
784,"LZC5-LTD"
785,"K2T4-MQC"
786,"K8QW-GD2"
787,"LZKN-N5H"
788,"LHF8-Y64"
789,"LLCC-G2L"
800,"LHJW-1GF"
801,"L27H-ZMR"
804,"MB79-GY6"
805,"MB79-GYR"
806,"G2VN-J59"
832,"27P4-G81"
834,"LDH1-W8D"
835,"M2YV-FXY"
836,"LV7M-1JL"
837,"LH8B-9PS"
838,"LZLK-8QR"
839,"2WM7-P6G"
840,"LV7M-1JL"
841,"LH8B-9PS"
842,"LZLK-8QR"
843,"2WM7-P6G"
844,"KLJJ-YVB"
845,"KGB3-3SZ"
848,"L691-VC5"
849,"LRVV-YSJ"
850,"LZ4N-XH1"
851,"2D65-99H"
852,"M1ST-3Z8"
853,"LCPX-XTG"
854,"KLB8-1QB"
855,"MGKW-ZP3"
872,"9X1R-QJL"
873,"MT29-M8X"
874,"L4T6-WXC"
875,"L78Z-VT8"
876,"LV92-71L"
877,"LWJV-TFQ"
878,"LTT3-L3X"
879,"LK3T-3RK"
880,"93R2-H66"
888,"K4XB-ZGN"
889,"K4RB-CV5"
890,"LZFW-4Y5"
891,"MTGN-Z6Y"
892,"LT3F-935"
893,"LT3X-BSC"
896,"M2WP-LQ5"
897,"KZCP-V4Q"
898,"LZXB-GRQ"
899,"LDST-SFN"
900,"LK3T-ND9"
901,"LK3T-NC5"
904,"LTNR-6ZK"
905,"LZZW-8BK"
906,"LBF9-CYZ"
907,"LZF3-9LY"
908,"LHF2-FSZ"
909,"LCXR-97D"
910,"LZG9-8P2"
911,"LCY5-PZ1"
928,"9JWH-DSM"
929,"9JWH-DSS"
931,"LHX9-H8K"
932,"LZLK-Q24"
933,"LC52-JSL"
934,"LHW8-LSS"
935,"LH6B-TLS"
936,"L8WL-YH1"
937,"MDFX-RBD"
938,"L6B5-4MJ"
939,"LK6K-D15"
940,"LX7M-129"
941,"KVLP-XVS"
942,"L6B5-4MJ"
943,"LK6K-D15"
944,"L14M-9P3"
945,"LCP5-MQM"
946,"G8DD-VGR"
952,"LHKK-RWT"
953,"K2VZ-9VX"
954,"LHKK-GKQ"
955,"LZL7-22L"
960,"LHKT-LPM"
961,"LV76-5CW"
962,"L4FK-Y7D"
963,"LM1Z-DNF"
964,"L4HK-L9K"
965,"L4CZ-3QD"
966,"LCJX-S96"
967,"2Z35-X55"
1016,"LVKG-XM9"
1017,"LZ4V-6P4"
1018,"LZPF-PVT"
1019,"G8WM-RCT"
1160,"LVN4-W6L"
1161,"LZLV-FC3"
1162,"LZN6-9LT"
1163,"LZLV-FC3"
1168,"G9DN-BSQ"
1169,"LDLF-8GN"
1170,"LDLF-8R9"
1171,"LDLF-8TN"
1172,"GH2D-CFB"
1173,"GH1X-GCC"
1200,"LT3L-N8F"
1201,"LT3L-TDX"
1202,"LDSG-K2K"
1203,"M77S-R8C"
1216,"LZKX-HGR"
1217,"MSJZ-8M9"
1248,"MYX1-TTH"
1249,"GX98-R19"
1252,"G6CW-VFD"
1254,"GHH5-ZC4"
1255,"MYLX-GCL"
1256,"LCTP-BCG"
1257,"9K8F-NLV"
1258,"LVKH-WTY"
1259,"LBY2-XS3"
1260,"LB6K-6VK"
1261,"LRVF-TCN"
1262,"LRNX-2Z8"
1263,"278F-RNV"
1280,"G6HS-Q8X"
1281,"96XL-MYQ"
1283,"GLRP-LL2"
1284,"LXQ5-F2V"
1285,"GCS7-DSP"
1286,"L16T-5BV"
1287,"KJWC-9JR"
1296,"GQ58-LX8"
1297,"GQ58-2YH"
1300,"M1NQ-6H6"
1301,"L611-BBK"
1302,"MBW6-L4N"
1303,"G8N8-136"
1304,"GHF1-7P7"
1305,"G3DP-QFK"
1308,"LZ23-6ZM"
1309,"M2Z7-CJ3"
1310,"LDF6-ZR9"
1311,"L1R4-RH6"
1312,"L62C-C9V"
1313,"L2ZG-CST"
1314,"LDQR-ZKG"
1315,"LZ6Z-6QL"
1344,"LXQ2-YQN"
1345,"LXQ2-YZV"
1346,"LV3K-VTS"
1347,"LH8V-NNV"
1348,"LV3K-VTS"
1349,"LH8V-NNV"
1352,"LZK7-R6Z"
1353,"LDZG-Z7V"
1356,"L8QD-87T"
1357,"273X-SBR"
1358,"G6WC-DLQ"
1359,"LX3R-GPG"
1368,"LRP5-HJS"
1369,"LRP5-SNN"
1370,"LCXW-72B"
1371,"LZXR-ZPD"
1372,"G666-CGR"
1373,"9VYQ-PLB"
1374,"LHX5-X9B"
1375,"K2J1-YBP"
1376,"GLNV-WF9"
1377,"KNJD-KXV"
1378,"LZK8-W6R"
1379,"K2QZ-3YB"
1380,"L7Y2-MMY"
1381,"LZZW-WDR"
1382,"LCFM-NFX"
1383,"K631-GKK"
1384,"LXQ2-YQN"
1385,"LXQ2-YZV"
1386,"LV3K-VTS"
1387,"LH8V-NNV"
1388,"LV3K-VTS"
1389,"LH8V-NNV"
1408,"LRQH-PFV"
1409,"GQJK-Y24"
1410,"LBQ3-96B"
1411,"L5BF-QWZ"
1412,"MW4Y-WNW"
1413,"LBSJ-7PY"
1414,"LB4K-Z2W"
1415,"49D5-G9D"
1420,"G42S-HZ6"
1421,"GNPB-2R8"
1536,"GCWG-92Z"
1537,"GZY5-R5X"
1538,"G67D-TCY"
1539,"G67D-P9V"
1544,"LR1M-6CR"
1545,"L7NT-VP4"
1546,"MDS6-T4R"
1547,"LZVZ-SXC"
1568,"KL4K-QDG"
1569,"LDBG-3QK"
1570,"LC66-SRY"
1571,"27CW-6PJ"
1572,"L5YG-XYT"
1573,"K8D9-Y5J"
1574,"KLWS-WF4"
1575,"LCVV-VJB"
1576,"M15R-GKM"
1577,"LCDQ-TXD"
1578,"LLCC-G2V"
1579,"LZ66-K4N"
1602,"GLJB-MQQ"
1603,"L7N5-C9Z"
1664,"M95G-5ZY"
1665,"WB7C-DK6"
1668,"LVGM-FHR"
1669,"LTZ3-X5Z"
1672,"LLCP-ZWB"
1673,"L41Y-NZW"
1674,"LH3P-61W"
1675,"K1WK-2H4"
1676,"LZPX-VW5"
1677,"K4D9-R3L"
1678,"L134-LK5"
1679,"L2W3-WQJ"
1680,"LLCP-ZWB"
1681,"L41Y-NZW"
1682,"LH3P-61W"
1683,"K1WK-2H4"
1684,"LZPX-VW5"
1685,"K4D9-R3L"
1686,"L134-LK5"
1687,"L2W3-WQJ"
1688,"LV5Z-YQZ"
1689,"LHZZ-Y1F"
1690,"LZ8M-XGY"
1691,"26KX-2QL"
1696,"LCZS-VPZ"
1697,"LHSQ-5YH"
1698,"LHZN-5LF"
1699,"L8SK-J7R"
1700,"LTTF-QR5"
1701,"LHFR-W3F"
1702,"LZ2S-DJL"
1703,"LCZ3-41V"
1704,"LB79-2BV"
1705,"LC8T-966"
1706,"MC3Z-1ZY"
1707,"KH29-DBZ"
1708,"GQF1-7LZ"
1709,"KPDR-TZ3"
1710,"LZVW-576"
1711,"G8GT-P55"
1744,"LK53-1BF"
1745,"LK5Q-MXT"
1746,"2ZVG-C1Y"
1747,"947Z-SP2"
1748,"LZ4F-G53"
1749,"LHGS-1KZ"
1752,"MH47-CZR"
1753,"G22S-WBN"
1754,"GZ7X-D1L"
1755,"M4P8-FPF"
1756,"LZDB-H9Y"
1757,"GJ1F-TMC"
1758,"LK3T-SH8"
1759,"LK3T-39D"
1760,"93R2-HXH"
1761,"93R2-HF9"
1776,"K8PJ-8HT"
1778,"K8V7-GRH"
1779,"K8QL-79Y"
1780,"LB88-PJ4"
1781,"LZBL-49J"
1784,"LT3J-JQ7"
1785,"LT3J-N9K"
1786,"93R2-71L"
1787,"93R2-WM7"
1792,"G8JB-4JR"
1796,"LZPD-TZ6"
1797,"LHV9-JKY"
1798,"KH2X-8DZ"
1799,"KH38-KWH"
1800,"LKKM-HKP"
1801,"MQKV-94Y"
1802,"LK3T-Q5W"
