"fid","ascendancy"
"2WN4-1MS",39
"2WN4-BY9",78
"LHWX-NKH",79
"KLLB-DFV",156
"LRHV-YWK",157
"L5F2-NHQ",159
"9J88-2PP",312
"MBCS-6T1",313
"LRQQ-RXN",314
"9CKZ-WZV",315
"GX9D-MPX",624
"9J8C-TPW",625
"GDW4-NCQ",626
"LYYR-MVK",627
"LZKF-2YT",628
"LLSC-98W",629
"LC1B-1GV",630
"9CKZ-WZ2",631
"MYX1-TTH",1248
"GX98-R19",1249
"G6CW-VFD",1252
"GHH5-ZC4",1254
"MYLX-GCL",1255
"LCTP-BCG",1256
"9K8F-NLV",1257
"LVKH-WTY",1258
"LBY2-XS3",1259
"LB6K-6VK",1260
"LRVF-TCN",1261
"LRNX-2Z8",1262
"278F-RNV",1263
"GX98-BL4",2496
"GX9D-W7B",2497
"LT61-RVZ",2498
"GFJB-M98",2499
"G2XS-YKX",2512
"LRXH-QQT",2513
"L6NP-M1F",2514
"LCPT-7FB",2515
"LYQH-XCW",2516
"LCRJ-QLG",2517
"LZTD-TKN",2518
"MH99-JTW",2519
"LZ19-R19",2520
"LZPL-X5Y",2521
"K8R2-YMP",2522
"G3BL-8ZK",2523
"K1D1-KPN",2524
"LRF8-BJW",2525
"L6RK-YWH",2526
"LK7C-FCM",2527
"GX9D-HBZ",4992
"GX9D-9FW",4994
"GFJY-B71",4996
"KZVN-7G4",4997
"GFKV-Q7N",4998
"L8QL-7KH",5024
"K8V7-2LY",5025
"GK6R-S96",5026
"LV3W-V25",5027
"LX2W-S8S",5028
"LX2W-D3P",5029
"GNFG-6JC",5030
"GF14-SFP",5031
"GW6N-YR2",5032
"97WL-WDT",5033
"L51R-RWV",5034
"KCRK-VG9",5035
"LCX2-MXJ",5036
"LCX2-9QQ",5037
"G3ZV-VDT",5038
"L19P-7M4",5039
"97D6-6VL",5044
"2Z39-TMS",5045
"G8FH-DFL",5046
"GS2Z-352",5047
"M3ZB-GN3",5048
"MMVD-1YN",5049
"LDKC-H19",5052
"LBZT-LDM",5053
"MQX1-ZC8",5054
"2WN2-CTJ",5055
"LT61-JWC",9992
"GFJB-3NH",9994
"GFJB-P3Z",9995
"LRLJ-Y4Q",10048
"GXRX-BRZ",10049
"26LN-WN5",10050
"LZZC-W4G",10051
"GGV7-6R2",10054
"LTN4-31L",10055
"GZ7K-YYN",10056
"GZB2-CQ8",10057
"GDDM-F1Q",10058
"LHGV-9M2",10059
"L5YF-XW9",10060
"GKK1-YTJ",10061
"GJ7T-FV7",10062
"GJ7T-H12",10063
