"ascendancy","fid"
4,"GHVL-B4K"
5,"GHK6-8WT"
8,"L4MN-TBX"
9,"KN3F-FT7"
10,"K2VH-PS9"
18,"G94M-6WK"
19,"L7F5-765"
20,"K2VH-2FN"
36,"LCVF-TC7"
37,"KLX1-TT9"
38,"KHD1-RBZ"
39,"2WN4-1MS"
40,"LHSQ-X2Y"
72,"LZ99-FTJ"
73,"KNFL-YY8"
74,"LJYC-2GH"
75,"94L2-7QN"
76,"9NT9-KKL"
77,"9NT9-KKG"
78,"2WN4-BY9"
79,"LHWX-NKH"
80,"LH36-XL7"
144,"94D4-LHW"
145,"GZNF-C3R"
146,"LKMD-9J7"
147,"L7KM-LKT"
148,"LVG7-5VC"
149,"GF3F-HSP"
150,"G9VX-9JF"
151,"L6CV-QTZ"
152,"M7VJ-FJB"
153,"LWHV-QBT"
154,"G97G-1G9"
155,"G97P-9BL"
156,"KLLB-DFV"
157,"LRHV-YWK"
159,"L5F2-NHQ"
160,"MC3F-D8B"
288,"LT2P-892"
289,"GN2S-FWH"
290,"LF7P-WWJ"
291,"KNWT-TPD"
292,"GW6J-918"
293,"LH57-NXR"
300,"L6C1-MB7"
301,"L6C1-QMY"
304,"LX3V-GQV"
305,"LHG8-43J"
306,"GNH1-STG"
307,"KN78-1BK"
308,"G97P-9D2"
312,"9J88-2PP"
313,"MBCS-6T1"
314,"LRQQ-RXN"
315,"9CKZ-WZV"
320,"2759-854"
580,"LZLK-S2W"
581,"LZLK-338"
584,"LKMD-4XZ"
585,"KVBG-CVS"
586,"MVMR-8PM"
587,"L4BT-1XB"
600,"K2QL-87C"
601,"LV67-FMJ"
602,"LTR4-NNY"
608,"LZV6-5K2"
609,"GL61-WLZ"
624,"GX9D-MPX"
625,"9J8C-TPW"
626,"GDW4-NCQ"
627,"LYYR-MVK"
628,"LZKF-2YT"
629,"LLSC-98W"
630,"LC1B-1GV"
631,"9CKZ-WZ2"
640,"KHXT-DWP"
1160,"LVN4-W6L"
1161,"LZLV-FC3"
1162,"LZN6-9LT"
1163,"LZLV-FC3"
1168,"G9DN-BSQ"
1169,"LDLF-8GN"
1170,"LDLF-8R9"
1171,"LDLF-8TN"
1172,"GH2D-CFB"
1173,"GH1X-GCC"
1200,"LT3L-N8F"
1201,"LT3L-TDX"
1202,"LDSG-K2K"
1203,"M77S-R8C"
1216,"LZKX-HGR"
1217,"MSJZ-8M9"
1248,"MYX1-TTH"
1249,"GX98-R19"
1252,"G6CW-VFD"
1254,"GHH5-ZC4"
1255,"MYLX-GCL"
1256,"LCTP-BCG"
1257,"9K8F-NLV"
1258,"LVKH-WTY"
1259,"LBY2-XS3"
1260,"LB6K-6VK"
1261,"LRVF-TCN"
1262,"LRNX-2Z8"
1263,"278F-RNV"
1280,"G6HS-Q8X"
2320,"LTSB-VDS"
2321,"M6B9-NKJ"
2322,"KL1Z-P21"
2323,"LH2R-7VL"
2324,"LCP8-V18"
2325,"9VK5-HDW"
2326,"KL1Z-P21"
2327,"LH2R-7VL"
2336,"LRCB-TVV"
2337,"LRC1-3M6"
2338,"LKMD-WD8"
2339,"LKMD-W61"
2344,"G8Y9-1P8"
2345,"MMB4-B4K"
2346,"KHWJ-XWX"
2347,"MM2Q-PB3"
2400,"L2ZW-HF1"
2401,"GFDQ-FK8"
2402,"M38T-XFK"
2403,"M5FC-HF4"
2432,"L8BV-JM5"
2433,"G2DD-MYZ"
2434,"G92L-4D6"
2435,"G922-G7S"
2496,"GX98-BL4"
2497,"GX9D-W7B"
2498,"LT61-RVZ"
2499,"GFJB-M98"
2512,"G2XS-YKX"
2513,"LRXH-QQT"
2514,"L6NP-M1F"
2515,"LCPT-7FB"
2516,"LYQH-XCW"
2517,"LCRJ-QLG"
2518,"LZTD-TKN"
2519,"MH99-JTW"
2520,"LZ19-R19"
2521,"LZPL-X5Y"
2522,"K8R2-YMP"
2523,"G3BL-8ZK"
2524,"K1D1-KPN"
2525,"LRF8-BJW"
2526,"L6RK-YWH"
2527,"LK7C-FCM"
2560,"G7VG-31P"
4640,"G89N-2LN"
4641,"LZLK-WD5"
4644,"LKSL-K3W"
4645,"LCP8-QKF"
4646,"L85P-G46"
4647,"KGC8-L5J"
4652,"LKSL-K3W"
4653,"LCP8-QKF"
4654,"L85P-G46"
4655,"KGC8-L5J"
4676,"GHCM-9TB"
4678,"LTRK-HMK"
4679,"9Q2X-TLS"
4688,"MX8D-7KG"
4689,"MX8D-72C"
4692,"GH1X-28W"
4693,"GH1X-TH2"
4694,"LJ1X-SBK"
4695,"LJ1X-39Q"
4800,"L2ZW-CDV"
4801,"MGQ3-VBH"
4802,"GFDQ-XML"
4803,"GFD3-1C9"
4804,"L2J3-D1V"
4805,"LZV8-ZMW"
4806,"GFDQ-MY9"
4807,"G26C-QYK"
4864,"LY8D-MYD"
4865,"GFWM-6JS"
4992,"GX9D-HBZ"
4994,"GX9D-9FW"
4996,"GFJY-B71"
4997,"KZVN-7G4"
4998,"GFKV-Q7N"
5024,"L8QL-7KH"
5025,"K8V7-2LY"
5026,"GK6R-S96"
5027,"LV3W-V25"
5028,"LX2W-S8S"
5029,"LX2W-D3P"
5030,"GNFG-6JC"
5031,"GF14-SFP"
5032,"GW6N-YR2"
5033,"97WL-WDT"
5034,"L51R-RWV"
5035,"KCRK-VG9"
5036,"LCX2-MXJ"
5037,"LCX2-9QQ"
5038,"G3ZV-VDT"
5039,"L19P-7M4"
5044,"97D6-6VL"
5045,"2Z39-TMS"
5046,"G8FH-DFL"
5047,"GS2Z-352"
5048,"M3ZB-GN3"
5049,"MMVD-1YN"
5052,"LDKC-H19"
5053,"LBZT-LDM"
5054,"MQX1-ZC8"
5055,"2WN2-CTJ"
5120,"LCJW-76F"
9280,"LT26-GVL"
9281,"4221-9Y1"
9292,"G2HZ-FNQ"
9293,"GK2B-SZX"
9308,"G2HZ-FNQ"
9309,"GK2B-SZX"
9356,"G9C7-Z7H"
9357,"KZT6-ZH2"
9376,"MPKT-ZV1"
9377,"4561-JZS"
9378,"MLW3-9L8"
9388,"LCTD-DD5"
9389,"LCTD-D89"
9600,"G9SV-3KD"
9601,"LVDS-JVG"
9602,"GFDQ-CQF"
9603,"GFDQ-ZG6"
9604,"GFDQ-ZGZ"
9605,"GFDQ-6XY"
9608,"L2X4-366"
9609,"LCXS-RKK"
9610,"GMFX-29D"
9611,"K8TP-4P5"
9728,"G8VC-312"
9729,"LZF2-CVH"
9730,"GFWM-K36"
9731,"GFWM-DMC"
9992,"LT61-JWC"
9994,"GFJB-3NH"
9995,"GFJB-P3Z"
10048,"LRLJ-Y4Q"
10049,"GXRX-BRZ"
10050,"26LN-WN5"
10051,"LZZC-W4G"
10054,"GGV7-6R2"
10055,"LTN4-31L"
10056,"GZ7K-YYN"
10057,"GZB2-CQ8"
10058,"GDDM-F1Q"
10059,"LHGV-9M2"
10060,"L5YF-XW9"
10061,"GKK1-YTJ"
10062,"GJ7T-FV7"
10063,"GJ7T-H12"
10064,"GQKY-HM4"
10065,"GVZR-TN4"
10068,"KCMK-F8D"
10069,"KCS3-DMC"
10070,"LRKS-DTM"
10071,"LRKS-4SN"
10076,"M3TT-NCD"
10077,"M3TT-NZ9"
10078,"GLZW-DKT"
10088,"LC3L-QTJ"
10089,"L8W9-QXF"
10090,"MQ23-8QW"
10091,"9N83-41R"
10092,"LBZZ-846"
10093,"GLV3-815"
10094,"L8WD-WC7"
10095,"L8WD-WX3"
10104,"GHJV-NBV"
10105,"GHJV-X6H"
10106,"L6VF-Q1R"
10107,"G4PP-GHZ"
10108,"G25R-1L2"
10109,"G983-SS6"
10110,"GLJY-1NP"
10111,"GLJB-ZJN"
10240,"LCJW-75T"
18560,"LKQ6-SMN"
18561,"LHVD-QJT"
18563,"G8R9-FN4"
18584,"K8Q2-CVP"
18585,"KCDQ-K7H"
18616,"K8Q2-CVP"
18617,"KCDQ-K7H"
18712,"2JYX-6JY"
18713,"LVFL-TZY"
18714,"GQHG-TM3"
18715,"LL3S-51V"
18752,"MGYZ-XJ3"
18753,"K6MN-CRT"
19200,"LVDW-ZCQ"
19201,"G9SV-G8L"
19202,"LVFP-KT5"
19203,"GFDQ-7PK"
19208,"LYJ1-6Q8"
19209,"LYJ1-F4T"
19216,"LWV5-XFF"
19217,"L41N-1D1"
19218,"ML1F-B8K"
19219,"ML1F-B8B"
19220,"GXXL-THL"
19221,"GKKD-KN7"
19222,"LJ24-FHS"
19223,"LWJR-W1X"
19461,"GFKW-QKJ"
19984,"LTXM-K18"
19985,"LTXM-P3Y"
20096,"LRLJ-YRX"
20097,"LRLV-MRV"
20098,"GJWP-SWS"
20099,"LR1W-M3L"
20100,"GF1Z-M3S"
20101,"GF1W-3CM"
20102,"GLST-3RV"
20103,"L6D1-2GY"
20108,"LY95-9BX"
20109,"9S1F-36C"
20110,"LWVS-B6G"
20111,"G6W3-SMC"
20114,"LVX7-251"
20115,"LVX7-2XG"
20116,"LVX7-251"
20117,"LVX7-2XG"
20118,"L5YF-J5L"
20119,"9J1J-4Z4"
20120,"L5YF-J5L"
20121,"9J1J-4Z4"
20122,"KH7R-QP3"
20123,"LKS4-RXM"
20128,"G7CR-V2P"
20129,"G7CR-KWS"
20136,"K4VP-YXK"
20137,"KCKG-XC7"
20152,"LZPS-WD4"
20153,"L9PQ-3Q1"
20176,"GJG3-5WL"
20177,"L8W9-497"
20178,"GQKN-56X"
20179,"GQKN-7CJ"
20180,"L2FL-LMB"
20181,"GFQV-P4N"
20182,"LYNQ-Z43"
20183,"LLW2-ZYG"
20184,"LBZC-5ZG"
20185,"KNDX-J8T"
20188,"LVF8-JZ3"
20189,"L2Q8-TB4"
20190,"L714-BT5"
20191,"L714-1HC"
20208,"KC3P-Q3P"
20209,"GNZ6-K5P"
20210,"GCLQ-PZZ"
20211,"GCLQ-KPH"
20214,"G8TB-SR2"
20215,"LTHS-QXC"
20220,"L1J4-NKR"
20221,"L1JH-S4D"
37120,"MRPB-TY3"
37121,"GJZN-G7G"
37122,"MN1B-LF6"
37123,"4F5V-K64"
37424,"L2JB-GJX"
37425,"9ZPJ-DPC"
37426,"MP49-JMH"
37427,"G8YS-CJ5"
37428,"L6ZQ-63B"
37429,"9C8Q-B3H"
37504,"MJ4N-2T1"
37506,"KCS6-X84"
37507,"M7BR-5F9"
38400,"GFDQ-SJM"
38401,"LY7S-75Y"
38404,"LVFP-279"
38432,"GXM6-3B8"
38433,"GKK3-QPR"
38436,"LZZK-844"
38437,"G65L-1GB"
38438,"GK7D-YVM"
38440,"GGNN-SKL"
38441,"GXXL-BXP"
38442,"GWMF-WJZ"
38443,"GXXL-LX5"
38444,"GJZ1-Q1L"
38445,"GKNF-H2F"
38446,"LVZN-FBJ"
38447,"LVZN-N4J"
39970,"G72K-M7R"
39971,"G72V-G19"
40192,"LRT9-JZZ"
40193,"LRLV-Q27"
40194,"GMXJ-NHJ"
40195,"GJWG-G2T"
40200,"G8BY-HP5"
40201,"G8BY-6VZ"
40202,"K8C3-N7F"
40203,"KH93-KJH"
40206,"G6CX-TTD"
40207,"LZM1-5LZ"
40216,"G4MC-QD8"
40217,"9J4M-YHT"
40218,"GKXC-FRD"
40219,"GJWG-P5G"
40222,"GS6T-K2F"
40223,"G7V3-CR4"
40228,"GZGF-XFX"
40229,"LCPR-CBS"
40230,"GZGF-6M3"
40231,"GZGF-883"
40232,"GZGF-XFX"
40233,"LCPR-CBS"
40234,"GZGF-6M3"
40235,"GZGF-883"
40236,"LV4R-D18"
40237,"MGJQ-Y2R"
40238,"K23D-YJ3"
40239,"GZ5M-BTN"
40240,"LV4R-D18"
40241,"MGJQ-Y2R"
40242,"K23D-YJ3"
40243,"GZ5M-BTN"
40246,"GK7L-MG3"
40247,"GNZ7-ZJ2"
40256,"L6T3-1BD"
40257,"KNQ8-FH9"
40258,"GSWZ-MR4"
40259,"9VJH-XCW"
40304,"LJR4-VZF"
40305,"G431-BHQ"
40306,"L4MM-WCF"
40307,"LXQQ-84C"
40352,"L67M-5R7"
40353,"LVF3-CG6"
40354,"LKH1-YN7"
40355,"LKH1-YNB"
40356,"GKHH-N64"
40357,"GLVZ-MN4"
40358,"GQKN-855"
40359,"GQKJ-M7C"
40360,"GXMZ-S7T"
40361,"GQPS-BHC"
40364,"M5P8-2KZ"
40365,"M5P8-2KP"
40366,"GFQV-5GH"
40367,"GFQV-2XM"
40368,"LBZZ-JCY"
40369,"LBZZ-754"
40370,"MX5Q-CZN"
40371,"LVY1-MJB"
40376,"G3WH-SQT"
40377,"G7C1-ZQS"
40416,"LKLG-TK4"
40417,"L8YW-GRT"
40420,"MVG3-2QT"
40421,"4J1Q-G46"
40422,"GJC9-RK6"
40423,"GJC9-GNG"
40428,"MMT4-5HY"
40429,"MMT4-5CF"
40440,"GLJB-S51"
40442,"K8HG-Z84"
40443,"LCZK-KF5"
74240,"G6N5-7R6"
74241,"GXFC-NC3"
74242,"LC73-DBC"
74243,"LCCJ-662"
74848,"LRC9-9LF"
74849,"GQFM-HGS"
74850,"GH76-S2R"
74851,"GCMB-H7W"
74852,"LK9P-D7Q"
74853,"LK9P-DHK"
74854,"G78C-MZL"
74855,"9SB4-M35"
74856,"L4Q6-X7T"
74857,"L4Q6-61M"
74858,"GWBQ-3HB"
74859,"GWBQ-473"
76800,"GWSF-7Z9"
76801,"G8TJ-158"
76802,"KK9B-MVZ"
76803,"GLVH-HZG"
76864,"LD5M-GRL"
76865,"LDTM-J4T"
76872,"9SVT-V2X"
76873,"LDB2-BB4"
76874,"MH4T-RN5"
76880,"GGNJ-V4K"
76881,"GGNJ-BQG"
76882,"LXSM-KSB"
76883,"G27H-9LG"
76884,"GH3L-P3Y"
76885,"GH3L-YXV"
76886,"2Z3J-1PB"
76887,"GWMF-WJF"
76888,"KLVC-KFG"
76889,"GXVQ-3CV"
76890,"GMX1-J91"
76891,"G6HW-87M"
76892,"9QG6-4H7"
76893,"9QG6-4DJ"
76894,"MJ2F-63C"
76895,"LJLW-MRX"
79940,"GSWR-SL1"
79942,"M53M-74H"
79943,"G72V-T75"
80384,"GXZ9-VV8"
80385,"G6YL-SGQ"
80388,"GDJM-FLW"
80389,"LH58-BYF"
80390,"GJWG-GQ1"
80391,"K1GW-JPZ"
80404,"27DV-K39"
80405,"L4S1-CPD"
80412,"GGMC-3WN"
80413,"GVVH-FLB"
80414,"LZ61-T3T"
80415,"GQKN-3QH"
80432,"LRL7-JNF"
80433,"L6TC-KQZ"
80434,"GW58-RX7"
80435,"GHP8-DZH"
80436,"G87S-C53"
80437,"GKND-ZGT"
80438,"GM6W-B5K"
80439,"GKX2-FNC"
80444,"GWCX-DSZ"
80445,"MSR4-W9F"
80446,"LTKJ-355"
80447,"G7CD-T8L"
80456,"GZGF-4Q6"
80457,"GZGF-66Y"
80458,"GZGF-CWY"
80459,"GZGF-N21"
80464,"GZGF-4Q6"
80465,"GZGF-66Y"
80466,"GZGF-CWY"
80467,"GZGF-N21"
80472,"LV4R-PQG"
80473,"9SWZ-QL8"
80474,"GCMM-1HT"
80475,"GGXK-KS4"
80476,"GL95-FQG"
80477,"GL95-3NB"
80478,"LVYC-2BT"
80479,"LC8D-5Y2"
80480,"LV4R-PQG"
80481,"9SWZ-QL8"
80482,"GCMM-1HT"
80483,"GGXK-KS4"
80484,"GL95-FQG"
80485,"GL95-3NB"
80486,"LVYC-2BT"
80487,"LC8D-5Y2"
80492,"2DX5-6P9"
80493,"GNZ7-GZM"
80494,"GNZ7-HDV"
80495,"GNZQ-RYK"
80512,"LVQT-MM4"
80513,"G9ZY-V88"
80514,"GLXB-CNM"
80515,"GLXY-LS4"
80608,"G3LP-HNF"
80609,"L6YM-7MR"
80610,"LZF7-CCW"
80611,"938B-LJV"
80612,"G946-VKB"
80613,"G946-1LT"
80614,"G946-L11"
80704,"LZJB-9GN"
80705,"L8W9-4D2"
80706,"GSJ5-M22"
80707,"WBW3-G48"
80708,"9VGQ-52M"
80709,"9VGQ-529"
80710,"GQKN-QRX"
80711,"9KXT-72F"
80712,"GLVZ-HQD"
80714,"GLVZ-X73"
80715,"GLVF-NPM"
80716,"GKHH-R5M"
80717,"GKHH-CT2"
80721,"GGDP-LT6"
80732,"MLLD-QYM"
80733,"GFQV-LSW"
80736,"KN37-C3B"
80737,"MS4V-1LY"
80738,"LL3Y-QD5"
80739,"LZNW-JX8"
80740,"L1DW-NJS"
80741,"LB8V-8BR"
80742,"LCVT-N97"
80743,"LZL1-KP8"
80752,"G7C1-QQ9"
80753,"LL41-98J"
80832,"LVZD-LD9"
80833,"GVRN-K83"
80834,"KZFD-W7X"
80835,"L1HR-T6D"
80840,"K6QH-DX8"
80841,"LYNC-T5F"
80856,"G8TY-1Q9"
80884,"93Y5-JNZ"
80885,"L444-4NZ"
148484,"LDB7-8YR"
148485,"GQ1W-T73"
148486,"MMNC-9LS"
148487,"WTXR-81J"
149696,"GVBY-YC2"
149697,"GCMB-9SG"
149698,"G4Q5-ND8"
149699,"G4Q5-H3V"
