"QID","fs","article"
"Q65989","9MC4-HW2","https://en.wikipedia.org/wiki/Wolfgang_Pauli"
"Q101638","KGLW-V67","https://en.wikipedia.org/wiki/Mary_Wollstonecraft"
"Q66023","M4NK-V96","https://en.wikipedia.org/wiki/Friedrich_Wilhelm_Foerster"
"Q66107","GG6Z-MCD","https://en.wikipedia.org/wiki/Henry_Kissinger"
"Q79789","L8WY-WYP","https://en.wikipedia.org/wiki/Frederick_Barbarossa"
"Q123469","LW34-ZMM","https://en.wikipedia.org/wiki/Sinclair_Lewis"
"Q80137","LZG7-64N","https://en.wikipedia.org/wiki/Emily_Bront%C3%AB"
"Q152345","LVP4-VS3","https://en.wikipedia.org/wiki/Ernie_Coombs"
"Q152370","LD39-RTT","https://en.wikipedia.org/wiki/B%C3%A9la_IV_of_Hungary"
"Q152437","LBDM-6M3","https://en.wikipedia.org/wiki/Alva_Myrdal"
"Q80530","LHDH-3TM","https://en.wikipedia.org/wiki/Hoyt_Axton"
"Q102341","LK6V-JTK","https://en.wikipedia.org/wiki/Farrah_Fawcett"
"Q124993","GQ8B-R83","https://en.wikipedia.org/wiki/Leopoldo_Galtieri"
"Q125121","L1ND-2KF","https://en.wikipedia.org/wiki/Aretha_Franklin"
"Q152505","GWQS-9KR","https://en.wikipedia.org/wiki/Leonard_Bernstein"
"Q66424","G3PZ-1MP","https://en.wikipedia.org/wiki/William,_Prince_of_Hohenzollern"
"Q66522","GMC8-K57","https://en.wikipedia.org/wiki/Johann_Spurzheim"
"Q66546","K2Q8-14R","https://en.wikipedia.org/wiki/Gottfried,_Prince_of_Hohenlohe-Langenburg"
"Q66642","LX3F-5KL","https://en.wikipedia.org/wiki/Frederick,_Prince_of_Hohenzollern"
"Q66916","LC2C-RVR","https://en.wikipedia.org/wiki/Marianne_Weber"
"Q80048","L55Y-ZWG","https://en.wikipedia.org/wiki/Al_Capone"
"Q102140","LYD7-TB9","https://en.wikipedia.org/wiki/Henry_II_of_England"
"Q102289","2ZVG-J2Y","https://en.wikipedia.org/wiki/Buckminster_Fuller"
"Q124079","M1PC-2YG","https://en.wikipedia.org/wiki/Walther_Ritz"
"Q124186","GSFC-6RK","https://en.wikipedia.org/wiki/Hugo_von_Tschudi"
"Q124428","K4LN-5ZY","https://en.wikipedia.org/wiki/John_Sutter"
"Q124462","9ZSH-F2Q","https://en.wikipedia.org/wiki/Meyer_Guggenheim"
"Q152306","2DXK-QCN","https://en.wikipedia.org/wiki/Carl_Gustaf_Emil_Mannerheim"
"Q66157","LVQ2-FGW","https://en.wikipedia.org/wiki/Carl_Tanzler"
"Q66190","MNCK-RL3","https://en.wikipedia.org/wiki/Leo_Blech"
"Q66408","LTHS-QMT","https://en.wikipedia.org/wiki/Christine_Kaufmann"
"Q79822","KZFX-738","https://en.wikipedia.org/wiki/Adam_Mickiewicz"
"Q79904","LC65-N7P","https://en.wikipedia.org/wiki/J._D._Salinger"
"Q79969","MDLD-799","https://en.wikipedia.org/wiki/Emma_Goldman"
"Q101740","LCVC-TC6","https://en.wikipedia.org/wiki/Benoit_Mandelbrot"
"Q102071","K2QC-GRP","https://en.wikipedia.org/wiki/Tove_Jansson"
"Q123688","28S3-X4H","https://en.wikipedia.org/wiki/Duke_Kahanamoku"
"Q123799","29S3-R8W","https://en.wikipedia.org/wiki/Norton_Strange_Townshend"
"Q123994","GMWP-BYL","https://en.wikipedia.org/wiki/Johann_II_Bernoulli"
"Q124001","LC7W-64X","https://en.wikipedia.org/wiki/Nicolaus_II_Bernoulli"
"Q152148","99KL-7ML","https://en.wikipedia.org/wiki/Wenceslaus_IV_of_Bohemia"
"Q152245","LC3D-FRF","https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha"
"Q152256","LDSV-P4D","https://en.wikipedia.org/wiki/Conrad_II,_Holy_Roman_Emperor"
"Q152274","MGSF-Z5H","https://en.wikipedia.org/wiki/Edvard_Bene%C5%A1"
"Q152293","L1D6-RX3","https://en.wikipedia.org/wiki/Aram_Khachaturian"
"Q67038","LYMY-CW6","https://en.wikipedia.org/wiki/Prince_Wolfgang_of_Hesse"
"Q67208","MJQ9-XYB","https://en.wikipedia.org/wiki/Fritz_Simrock"
"Q67344","LDQH-KJP","https://en.wikipedia.org/wiki/Princess_Irmingard_of_Bavaria"
"Q67409","27SX-31S","https://en.wikipedia.org/wiki/Christian_Charles_Josias_von_Bunsen"
"Q67753","ML4Y-JMN","https://en.wikipedia.org/wiki/Paul_Graebner"
"Q67835","GSX7-N4R","https://en.wikipedia.org/wiki/Salomon_Heine"
"Q68446","GK95-RBQ","https://en.wikipedia.org/wiki/Ernst_Tugendhat"
"Q68508","KN4J-P1M","https://en.wikipedia.org/wiki/Malcolm_III_of_Scotland"
"Q68529","GH2B-9QV","https://en.wikipedia.org/wiki/Samuel_de_Champlain"
"Q80596","LTRJ-RZV","https://en.wikipedia.org/wiki/Arthur_Miller"
"Q102379","GV2Y-DVT","https://en.wikipedia.org/wiki/Paul_Berg"
"Q102406","G3SS-WZ2","https://en.wikipedia.org/wiki/Herbert_C._Brown"
"Q102454","LBZP-CHL","https://en.wikipedia.org/wiki/Paul_Samuelson"
"Q102462","KZSP-SKR","https://en.wikipedia.org/wiki/James_Stewart"
"Q125249","26L8-7ZT","https://en.wikipedia.org/wiki/William_James"
"Q125361","GS9X-2QH","https://en.wikipedia.org/wiki/Michael_Prinz_von_Preussen"
"Q152717","GM3N-5RY","https://en.wikipedia.org/wiki/Henry_VII,_Holy_Roman_Emperor"
"Q152767","L4B1-CZT","https://en.wikipedia.org/wiki/Brad_Renfro"
"Q152824","G9VW-YG6","https://en.wikipedia.org/wiki/Susan_Sontag"
"Q68761","MBS1-PMS","https://en.wikipedia.org/wiki/Elsa_Einstein"
"Q69045","LKHS-7NG","https://en.wikipedia.org/wiki/Ernst_Albrecht_(politician,_born_1930)"
"Q69420","LCXY-LLC","https://en.wikipedia.org/wiki/Friedrich_Wilhelm_Prinz_von_Hohenzollern"
