"maxasc","fid","QID","article","name","lifespan","birth_country"
6712,"LZG6-CH7","Q6245304","https://en.wikipedia.org/wiki/John_Lothropp","John Lothrop","Unknown - 1653",NA
6784,"LTFV-PRT","Q15990355","https://en.wikipedia.org/wiki/Ralph_Wheelock","Reverend Ralph Wheelock","1600 - 1684","UK:Great Britain"
6788,"LZ9S-3KP","Q5339774","https://en.wikipedia.org/wiki/Edmund_Rice_(colonist)","Deacon Edmund Rice","1594 - 1663","UK:Great Britain"
6818,"LHN6-VQW","Q16211658","https://en.wikipedia.org/wiki/John_Strong_(colonist)","Elder John Strong","1605 - 1699","UK:Great Britain"
7256,"LZN7-DXZ","Q5544702","https://en.wikipedia.org/wiki/George_Soule_(Mayflower_passenger)","George Soule","1600 - 1677",NA
7646,"LRQS-P26","Q6284127","https://en.wikipedia.org/wiki/Joseph_Hull","Rev. Joseph Hull","Unknown - 1665",NA
11032,"LH1P-T42","Q2428092","https://en.wikipedia.org/wiki/Thomas_Welles","Governor Thomas Welles","1594 - 1660","UK:Great Britain"
11038,"94YN-5LG","Q16863810","https://en.wikipedia.org/wiki/Richard_Treat","Richard Treat Sr.","1584 - 1669","UK:Great Britain"
11288,"LB2N-TRL","Q18880389","https://en.wikipedia.org/wiki/William_Tucker_(Jamestown_immigrant)","Capt. William Tucker","1588 - 1643","UK:Great Britain"
13422,"LZK8-1X7","Q6240151","https://en.wikipedia.org/wiki/John_Howland","John Howland","1599 - 1673","UK:Great Britain"
13423,"LZ8B-H42","Q16863806","https://en.wikipedia.org/wiki/Elizabeth_Tilley","Elizabeth Tilley","Unknown - 1687","UK:Great Britain"
15444,"LZ6D-7GB","Q6264792","https://en.wikipedia.org/wiki/John_Woodbridge","Reverend John Woodbridge","1614 - 1696","UK:Great Britain"
21552,"L17Z-ZBC","Q1293602","https://en.wikipedia.org/wiki/Edward_Seymour,_Lord_Beauchamp","Edward Seymour Viscount Beauchamp","1561 - 1612","UK:Great Britain"
26846,"L71L-S22","Q6260854","https://en.wikipedia.org/wiki/John_Tilley_(Mayflower_passenger)","John Tilley","1571 - 1621","UK:Great Britain"
29880,"LYNX-9NC","Q5717096","https://en.wikipedia.org/wiki/Henry_Adams_(farmer)","Henry Adams","1583 - 1646","UK:Great Britain"
29912,"9CXG-H68","Q7608632","https://en.wikipedia.org/wiki/Stephen_Bachiler","Stephen Bachiler","1561 - Unknown","UK:Great Britain"
30872,"L8SL-57Z","Q5339478","https://en.wikipedia.org/wiki/Edmund_Freeman","Edmund Freeman II","Unknown - 1682",NA
30874,"9MWV-FM6","Q7793263","https://en.wikipedia.org/wiki/Thomas_Prence","Thomas Prence","1600 - 1673","UK:Great Britain"
30876,"LYT4-N3S","Q6247348","https://en.wikipedia.org/wiki/John_Mayo_(minister)","Reverend John Mayo Jr.","1598 - 1676","UK:Great Britain"
30890,"9SVT-FBV","Q375657","https://en.wikipedia.org/wiki/Thomas_Dudley","Governor Thomas Dudley","1576 - 1653","UK:Great Britain"
41614,"LR71-PPB","Q5544435","https://en.wikipedia.org/wiki/George_Seton,_7th_Lord_Seton","Sir George Seton 7th Lord Seton, Provost of Edinburgh, Master of the Royal Household, Commissioner  to France - PC","1528 - 1585","UK:Great Britain"
53552,"L63R-MSW","Q380961","https://en.wikipedia.org/wiki/John_Foxe","Reverend John Foxe","1516 - 1587","UK:Great Britain"
58310,"L41C-Q32","Q7372199","https://en.wikipedia.org/wiki/Rowland_Taylor","Rowland Taylor","1510 - 1555","UK:Great Britain"
61786,"L457-4H4","Q7349778","https://en.wikipedia.org/wiki/Robert_Shute","Hon. Robert Shute Justice of the King's Bench","1522 - 1590","UK:Great Britain"
83224,"LBRD-MGY","Q336796","https://en.wikipedia.org/wiki/James_Hamilton,_1st_Earl_of_Arran","Sir Lord Admiral James Hamilton III Knight, High Sheriff of Lanark","1475 - 1529","UK:Great Britain"
86208,"LTDW-2Q1","Q163936","https://en.wikipedia.org/wiki/Edward_Seymour,_1st_Duke_of_Somerset","Sir Edward Seymour 1st Duke of Somerset","1506 - 1552","UK:Great Britain"
86786,"L1W5-7HY","Q6315297","https://en.wikipedia.org/wiki/Richard_Rich,_1st_Baron_Rich","Sir Richard Rich","1500 - 1567","UK:Great Britain"
90128,"9H86-NF9","Q1261083","https://en.wikipedia.org/wiki/William_Herbert,_1st_Earl_of_Pembroke_(died_1469)","Sir William Herbert 1st Earl of Pembroke","1423 - 1469","UK:Great Britain"
106762,"LJT5-FCZ","Q11803470","https://en.wikipedia.org/wiki/Henry_Clifford,_10th_Baron_Clifford","Sir Henry Clifford","1455 - 1523","UK:Great Britain"
120062,"M6QN-L99","Q1291914","https://en.wikipedia.org/wiki/Edward_Clinton,_1st_Earl_of_Lincoln","Sir Edward Clinton","1512 - 1585","UK:Great Britain"
123560,"LCRD-BST","Q5728882","https://en.wikipedia.org/wiki/Henry_Dudley_(conspirator)","Captain Henry Dudley","1517 - 1553","UK:Great Britain"
166448,"L1CV-VWY","Q1342958","https://en.wikipedia.org/wiki/James_Hamilton,_1st_Lord_Hamilton","James Hamilton -1st Lord Hamilton","1415 - 1479","UK:Great Britain"
166454,"L1HN-PRR","Q137906","https://en.wikipedia.org/wiki/James_IV_of_Scotland","James IV Stewart King of Scotland","1473 - 1513","UK:Great Britain"
172416,"LTJT-HP1","Q961790","https://en.wikipedia.org/wiki/John_Seymour_(1474%E2%80%931536)","Sir John Seymour","1474 - 1536","UK:Great Britain"
172423,"KG8Y-D43","Q588852","https://en.wikipedia.org/wiki/Mary_Tudor,_Queen_of_France","Mary Tudor","1496 - 1533","UK:Great Britain"
173207,"LC3D-9KN","Q2060421","https://en.wikipedia.org/wiki/Margery_Wentworth","Margery Wentworth","1453 - 1540",NA
173694,"KLNH-NVZ","Q349531","https://en.wikipedia.org/wiki/Edwin_Sandys_(bishop)","Archbishop Edwin Sandys","1519 - 1588","UK:Great Britain"
