"fid","ascendancy","parent","gender"
"KNQM-4PN",31527746868,"KF56-979","Male"
"KNQM-4PN",31527746869,"GNTT-GQC","Female"
"LTQP-NP6",31527746880,"9HM8-KNP","Male"
"LTQP-NP6",31527746881,"2W31-DF3","Female"
"LHW9-VZ4",31527746884,"L1MT-HC1","Male"
"LHW9-VZ4",31527746885,"GVGZ-DCK","Female"
"LTZK-8QF",31527746888,"LKQV-CL4","Male"
"LTZK-8QF",31527746889,"LKQV-CZ5","Female"
"9CCY-XKF",31527746892,"LHJ1-Z2N","Male"
"9CCY-XKF",31527746893,"9CXH-L2R","Female"
"GV61-F3M",31527746896,"GVS5-FJH","Male"
"GV61-F3M",31527746897,"GK4Q-4RQ","Female"
"9CCY-XKF",31527746900,"LHJ1-Z2N","Male"
"9CCY-XKF",31527746901,"9CXH-L2R","Female"
"LZV5-V2G",31527746904,"L7B5-9CH","Male"
"LZV5-V2G",31527746905,"L27L-XYL","Female"
"G7N6-VX6",31527746908,"LJ5R-TT4","Male"
"G7N6-VX6",31527746909,"G7N6-QRL","Female"
"LD3L-3K6",31527746912,"LD3L-3L1","Male"
"LD3L-3K6",31527746913,"GVFZ-53C","Female"
"LY6L-7XG",31527746916,"G8WB-3VQ","Male"
"LBXP-QNT",31527746920,"G2VL-4QK","Male"
"LBXP-QNT",31527746921,"G2VL-5VQ","Female"
"LVDZ-CCV",31527746922,"LVZ5-9LT","Male"
"LVDZ-CCV",31527746923,"LTFJ-P8P","Female"
"L1V3-YK5",31527746924,"GZGY-PHB","Male"
"L1V3-YK5",31527746925,"GW2T-W8K","Female"
"GGYW-H1W",31527746927,"GK3M-651","Female"
"GGYW-H1W",31527746926,"G72Y-4GB","Male"
"GMVS-LNN",31527746930,"GJT8-5BS","Male"
"GMVS-LNN",31527746931,"GKPS-37W","Female"
"LH74-HV9",31527746932,"LTQP-NP6","Male"
"LH74-HV9",31527746933,"LD3L-QYY","Female"
"GMVS-K8B",31527746936,"G2F3-2MP","Male"
"99GQ-8S8",31527746938,"937W-Z8H","Male"
"99GQ-8S8",31527746939,"GJPK-4J5","Female"
"G64K-KD8",31527746940,"LB8M-L15","Male"
"G64K-KD8",31527746941,"LDB4-489","Female"
"L7LL-FB1",31527746944,"GGJ6-93F","Male"
"L7LL-FB1",31527746945,"94RZ-9KC","Female"
"LZVR-GMG",31527746946,"L18X-ZNH","Male"
"LZVR-GMG",31527746947,"MVL6-5PR","Female"
"93LF-J1V",31527746948,"L1HZ-WR2","Male"
"93LF-J1V",31527746949,"MDWC-L73","Female"
"931M-DSZ",31527746950,"KFLG-12B","Male"
"931M-DSZ",31527746951,"M5YG-GGX","Female"
"LHYG-XJF",31527746952,"M1TN-H75","Male"
"LHYG-XJF",31527746953,"GHRS-RJY","Female"
"GDGW-LRZ",31527746954,"LJ4D-ZCK","Male"
"GDGW-LRZ",31527746955,"9S1L-ZP2","Female"
"2JFF-BQB",31527746956,"G87Q-Z3W","Male"
"2JFF-BQB",31527746957,"GC32-FML","Female"
