"gen","ascendency","id","gender"
3,4,"GHVL-B4K","Male"
3,5,"GHK6-8WT","Female"
3,6,"L6L2-JJB","Male"
3,7,"LNKH-8TG","Female"
4,8,"L4MN-TBX","Male"
4,9,"KN3F-FT7","Female"
4,10,"K2VH-PS9","Male"
4,11,"KCPD-XRB","Female"
4,12,"L6LW-6TT","Male"
4,13,"L6LW-FCQ","Female"
4,14,"GMGH-5D6","Male"
4,15,"GMGH-26Q","Female"
5,18,"G94M-6WK","Male"
5,19,"L7F5-765","Female"
5,20,"K2VH-2FN","Male"
5,21,"LCPJ-CQ6","Female"
5,22,"L2C8-Q7T","Male"
5,23,"LVNN-V32","Female"
5,24,"MWKV-8ST","Male"
5,25,"KN1H-HLB","Female"
5,26,"KC4P-BDG","Male"
5,27,"KH6L-9FC","Female"
5,28,"L8Q2-8WR","Male"
5,29,"L8QF-2Z8","Female"
5,30,"9687-7K6","Male"
5,31,"K8FB-QKZ","Female"
6,36,"LCVF-TC7","Male"
6,37,"KLX1-TT9","Female"
6,38,"KHD1-RBZ","Male"
6,39,"2WN4-1MS","Female"
6,40,"LHSQ-X2Y","Male"
6,41,"LHQM-9CQ","Female"
6,42,"LHZQ-PTC","Male"
6,43,"LHZQ-59P","Female"
6,44,"9N9J-FLS","Male"
6,45,"L5N7-J8L","Female"
6,46,"KCZ5-DBZ","Male"
6,47,"KHDS-NZZ","Female"
6,48,"L6LQ-3HW","Male"
6,49,"L6LQ-3CG","Female"
6,50,"KF3N-R3R","Male"
6,51,"GMNS-73X","Female"
6,52,"K8R2-H3H","Male"
6,53,"K86G-1WX","Female"
6,54,"LVS7-7KG","Male"
6,55,"KH11-RNX","Female"
6,56,"GMGN-855","Male"
6,57,"L22M-VJB","Female"
6,58,"KN4F-TVZ","Male"
6,59,"KN4F-TVQ","Female"
6,60,"LZKW-93N","Male"
6,61,"275W-5DV","Female"
6,62,"LV7Y-7QL","Male"
6,63,"LV7Y-7ZR","Female"
7,72,"LZ99-FTJ","Male"
7,73,"KNFL-YY8","Female"
7,74,"LJYC-2GH","Male"
7,75,"94L2-7QN","Female"
7,76,"9NT9-KKL","Male"
7,77,"9NT9-KKG","Female"
7,78,"2WN4-BY9","Male"
7,79,"LHWX-NKH","Female"
7,80,"LH36-XL7","Male"
7,81,"LH36-X2L","Female"
7,82,"MKG3-58R","Male"
7,83,"2Z3B-HWV","Female"
7,84,"LJK1-SS6","Male"
7,85,"LDQ1-3D9","Female"
7,86,"L5X6-32R","Male"
7,87,"LCZ5-PJ7","Female"
7,88,"LC4M-GRX","Male"
7,89,"LC4M-LVK","Female"
7,92,"9V3Z-S38","Male"
7,93,"GMR3-Z31","Female"
7,94,"LVK9-C36","Male"
7,95,"LVK9-BJ1","Female"
7,96,"L8BM-R6T","Male"
7,97,"L6R8-SNV","Female"
7,98,"L9PW-DY7","Male"
7,99,"L9PW-8GL","Female"
7,100,"935N-8ZS","Male"
7,101,"935N-8ZG","Female"
7,102,"2HMS-7W4","Male"
