"ascendency","id","gender","gen"
4640,"G89N-2LN","Male",13
4641,"LZLK-WD5","Female",13
4644,"LKSL-K3W","Male",13
4645,"LCP8-QKF","Female",13
4646,"L85P-G46","Male",13
4647,"KGC8-L5J","Female",13
4652,"LKSL-K3W","Male",13
4653,"LCP8-QKF","Female",13
4654,"L85P-G46","Male",13
4655,"KGC8-L5J","Female",13
4676,"GHCM-9TB","Male",13
4678,"LTRK-HMK","Male",13
4679,"9Q2X-TLS","Female",13
4688,"MX8D-7KG","Male",13
4689,"MX8D-72C","Female",13
4692,"GH1X-28W","Male",13
4693,"GH1X-TH2","Female",13
4694,"LJ1X-SBK","Male",13
4695,"LJ1X-39Q","Female",13
4800,"L2ZW-CDV","Male",13
4801,"MGQ3-VBH","Female",13
4802,"GFDQ-XML","Male",13
4803,"GFD3-1C9","Female",13
4804,"L2J3-D1V","Male",13
4805,"LZV8-ZMW","Female",13
4806,"GFDQ-MY9","Male",13
4807,"G26C-QYK","Female",13
4864,"LY8D-MYD","Male",13
4865,"GFWM-6JS","Female",13
4992,"GX9D-HBZ","Male",13
4994,"GX9D-9FW","Male",13
4996,"GFJY-B71","Male",13
4997,"KZVN-7G4","Female",13
4998,"GFKV-Q7N","Male",13
5024,"L8QL-7KH","Male",13
5025,"K8V7-2LY","Female",13
5026,"GK6R-S96","Male",13
5027,"LV3W-V25","Female",13
5028,"LX2W-S8S","Male",13
5029,"LX2W-D3P","Female",13
5030,"GNFG-6JC","Male",13
5031,"GF14-SFP","Female",13
5032,"GW6N-YR2","Male",13
5033,"97WL-WDT","Female",13
5034,"L51R-RWV","Male",13
5035,"KCRK-VG9","Female",13
5036,"LCX2-MXJ","Male",13
5037,"LCX2-9QQ","Female",13
5038,"G3ZV-VDT","Male",13
5039,"L19P-7M4","Female",13
5044,"97D6-6VL","Male",13
5045,"2Z39-TMS","Female",13
5046,"G8FH-DFL","Male",13
5047,"GS2Z-352","Female",13
5048,"M3ZB-GN3","Male",13
5049,"MMVD-1YN","Female",13
5052,"LDKC-H19","Male",13
5053,"LBZT-LDM","Female",13
5054,"MQX1-ZC8","Male",13
5055,"2WN2-CTJ","Female",13
5120,"LCJW-76F","Male",13
5138,"M4QW-XFQ","Male",13
5140,"LT52-7C2","Male",13
5142,"KCJY-7V8","Male",13
5143,"9ZZW-JJ9","Female",13
5144,"LVN4-L1P","Male",13
5145,"LH3G-3R8","Female",13
5146,"LH51-TR2","Male",13
5147,"LLHB-4LG","Female",13
5148,"LJ26-M8D","Male",13
5149,"9V72-SF1","Female",13
5150,"GDL4-3PV","Male",13
5151,"GDQ2-SWY","Female",13
5200,"LZ2R-46Z","Male",13
5201,"GQKP-F47","Female",13
5204,"GQLK-FQM","Male",13
5205,"GK3M-8FB","Female",13
5206,"GQLK-J8L","Male",13
5208,"G3YY-8G1","Male",13
5209,"MXHL-3CF","Female",13
5240,"GZ78-RN1","Male",13
5241,"GZ3S-N5N","Female",13
5242,"MZ5Z-485","Male",13
5243,"L58F-8TH","Female",13
5244,"MBW6-L45","Male",13
5245,"MBQW-CDH","Female",13
5252,"LHRY-PJ9","Male",13
5253,"LH8K-83N","Female",13
5254,"LCMF-6XW","Male",13
5255,"LHR8-KRX","Female",13
5256,"G4VF-F23","Male",13
5257,"G31V-Z7J","Female",13
5258,"LB88-3W7","Male",13
5259,"GJ96-SKH","Female",13
5384,"GKGF-XSV","Male",13
5385,"G9SG-1S2","Female",13
5388,"L4Y2-GGX","Male",13
5389,"LVSZ-KDD","Female",13
5390,"GQH9-KGX","Male",13
5391,"GQH9-T5S","Female",13
5392,"GKGF-XSV","Male",13
5393,"G9SG-1S2","Female",13
5396,"L4Y2-GGX","Male",13
5397,"LVSZ-KDD","Female",13
5398,"GQH9-KGX","Male",13
5399,"GQH9-T5S","Female",13
5410,"GSMP-W34","Male",13
5411,"KHP7-532","Female",13
5412,"KZ2G-MC7","Male",13
5413,"MTCZ-GW1","Female",13
5414,"LTPW-BJV","Male",13
5415,"LZ6S-3DR","Female",13
5424,"LZDS-SXX","Male",13
5425,"LZD8-HP5","Female",13
5426,"GHHB-76M","Male",13
5427,"GCGM-X93","Female",13
5432,"G9Z1-RFP","Male",13
5433,"GJ7X-NVS","Female",13
