"fid","type","year","place"
"GVSY-4TX","Birth","1046","Gournay-en-Bray, Seine-Maritime, Upper Normandy, France"
"GXJP-V8J","Birth","1056","Aumale, Seine-Maritime, Normandie, France"
"L2TT-2CL","Birth","1065","Beaucamps-le-Vieux, Somme, Picardie, France"
"LRHN-F6S","Birth","1051","Gamaches, Somme, Picardië, France"
"LRCL-MSB","Birth","1063","Aumale, Seine Maritime, Haute-Normandie, France"
"G2LQ-KYF","Birth","1085","Ath, Province Du Hainaut, Walloon Region, Belgium"
"GVMH-TC9","Birth","1105","Kanegem, Flandre occidentale, Belgique"
"L2RM-NN1","Birth","1120","Gand, Flandre Oriental, Belgium"
"L29Y-2KC","Birth","1100","Heusden, heerlijkheid, Oost-Vlaanderen,"
"LVS3-JV7","Birth","1110","Aire, , Nord-Pas-de-Calais, France"
"LHPQ-WV3","Birth","1070","Épernay-sous-Gevrey, Côte-d'Or, Bourgogne-Franche-Comté, France"
"GSZG-4D1","Death of Parent","1102","Ramlah, Ash Sharqīyah, Ômaun"
"GZH7-D1S","Birth","1116","France"
"L7J3-KLW","Birth","1045","France"
"G6LZ-LG7","Birth","1055","Courtenay, Loiret, Centre, France"
"LTP9-GVG","Birth","1052","Châumont-en-Vexin, Oise, Hauts-de-France, France"
"L2R4-TGW","Birth","1050","France"
"G2QT-KB4","Birth","1040",NA
"G217-BXG","Birth","1083",NA
"GV7N-H67","Birth","1030","França"
"GZ5X-VGN","Birth","1010","Corbeil, Marne, Grand Est, França"
"GFM8-7HN","Birth","1065","France"
"G718-41W","Birth","1050","Corbeil, Marne, Grand Est, França"
"GJVC-TC2","Birth","1030","Duras, Limbourg, Belgique"
"GJVZ-SHK","Birth","1047","Jodoigne, Walloon Brabant, Belgium"
"L2TG-R87","Marriage","1115",NA
"GQMG-3MD","Marriage","1115",NA
"GZ14-N6P","Birth","1040","Aulnay-sous-Bois, Seine-Saint-Denis, Île-de-France, France"
"GZ14-XD4","Birth","1040","Aulnay-sous-Bois, Seine-Saint-Denis, Île-de-France, France"
"GW47-JRH","Birth","1060","Villiers-le-Bel, Val-d'Oise, Île-de-France, France"
