"fid","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"GHZ1-PFH","53.95878","-1.08248","Yorkshire, England",NA,NA,NA
"GDCP-5FC","54.09896","-1.54387","Markingfield Hall, Yorkshire, England","54.09896","-1.54387","Markingfield Hall, Yorkshire, England"
"LDYP-HCW","54.08795","-1.70106","Ripon Liberty, Yorkshire, England","53.7","-1.61666","Soothill, Yorkshire, England"
"L25L-MB9","56.25","-3.16667","Fife, Scotland","52.64306","-2.71362","Shropshire, England"
"G6QM-9DG","52.4379","-1.6496","England",NA,NA,NA
"GHHC-2H5","52.4379","-1.6496","England","51.6733","0.1255","Theydon Garnon, Essex, England"
"GV1V-GDK","55.9535","-3.1892","Edinburgh, Midlothian, Scotland",NA,NA,NA
"GJJB-7H4",NA,NA,NA,NA,NA,NA
"GJJT-RPY","51.22608","0.75054","Kent, England",NA,NA,NA
"9MP5-L2C","52.97322","-0.13843","Sutterton, Lincolnshire, England, United Kingdom",NA,NA,NA
"GKY7-PYQ",NA,NA,NA,NA,NA,NA
"GDP6-PWV","52.58333","0.98333","Hingham, Norfolk, England","52.4379","-1.6496","England"
"LVHK-LZX","52.58333","0.98333","Hingham, Norfolk, England","52.58333","0.98333","Hingham, Norfolk, England"
"L8S6-N51","52.0633","-1.3409","Banbury, Oxfordshire, England","51.85739","-1.29353","Oxfordshire, England"
"L6NG-CS8","53.95878","-1.08248","Yorkshire, England","52.4379","-1.6496","England"
"GDQT-S4N","52.94656","-0.94946","Bingham, Nottinghamshire, England","52.953","-1.146","Nottingham, Nottinghamshire, England"
"GDQT-4PD","51.34092","-1.59393","Marten, Great Bedwyn, Wiltshire, England",NA,NA,NA
"K1TD-GVV","53.56667","-0.98333","Hatfield, Yorkshire, England","53.56667","-0.98333","Hatfield, Yorkshire, England"
"LZNR-TYX","52.7861","-1.4415","Staunton Harold, Leicestershire, England","52.4379","-1.6496","England"
"K1TD-GV3","53.15812","-0.23925","Lincoln, England",NA,NA,NA
"K1T6-4GQ","52.4379","-1.6496","England",NA,NA,NA
"GC3M-2X6","53.0748","-0.8105","Newark-on-Trent, Nottinghamshire, England","52.4379","-1.6496","England"
"GK9N-76S","53.11546","-1.02722","Nottinghamshire, England","52.4379","-1.6496","England"
"GLK5-CFG","52.4379","-1.6496","England, , , United Kingdom","52.4379","-1.6496","England, , , United Kingdom"
"LT5Z-98Z","52.138","-3.0067","Eardisley, Herefordshire Unitary Authority, Herefordshire, England","52.138","-3.0067","Eardisley, Herefordshire Unitary Authority, Herefordshire, England"
"L2J7-F52","51.9874","-2.9206","Laxton, Herefordshire, England","52.4379","-1.6496","England"
"KHS2-HJ5","51.914","-2.587","Ross, Herefordshire, of Argincourt, England","51.9147","-2.5834","Ross-on-Wye, Herefordshire, England"
"GNPM-Z75","52.0768","-2.8604","Bridge Sollers, Herefordshire, England","51.9147","-2.5834","Ross-on-Wye, Herefordshire, England"
"GD1R-XJ4","53.95525","-1.07822","York Castle, York, Yorkshire, England","52.4379","-1.6496","England"
"LB5M-MMV","53.95525","-1.07822","York Castle, York, Yorkshire, England","52.58308","-0.9222","Noseley, Leicestershire, England"
"LH1W-R4Z","51.11974","-2.9","Somerset, England, United Kingdom","50.73646","-3.71887","Devon, England, United Kingdom"
"GNF2-HD1","51.88419","-2.14462","Gloucestershire, England, United Kingdom","51.88419","-2.14462","Gloucestershire, England, United Kingdom"
"GGGK-LRK",NA,NA,NA,NA,NA,NA
"GGGK-2P2",NA,NA,NA,NA,NA,NA
"GHNT-71G","53.841","-0.424","Beverley, Yorkshire, England","51.6617","-0.3971","Watford, Hertfordshire, England"
"GLJY-DV9","53.841","-0.424","Beverley, Yorkshire, England","51.6617","-0.3971","Watford, Hertfordshire, England"
"GGJX-CB3","53.523","-1.1328","Doncaster, Yorkshire, England",NA,NA,NA
"G8S6-WW6","52.4379","-1.6496","England","52.4379","-1.6496","England"
"G8S6-7L5","52.4379","-1.6496","England","52.4379","-1.6496","England"
"GG7D-1CM","51.6617","-0.3971","Watford, Hertfordshire, England","51.6617","-0.3971","Watford, Hertfordshire, England"
"GG7D-Y3H","51.6617","-0.3971","Watford, Hertfordshire, England","51.6617","-0.3971","Watford, Hertfordshire, England"
"K2MC-NZF","53.0104","18.605","Toruń, Kuyavia-Pomerania, Poland","52.3972","16.8702","Grunwald, Poznań, Wielkopolskie, Poland"
"K2MC-N8D","53","14","Stebak, Prussia, Europe","53.0217","18.6107","Torun, Prussia, Europe"
"GV7V-CFV","52.1773","0.8467","Felsham, Suffolk, England, United Kingdom",NA,NA,NA
"GV7V-DWR","52.4379","-1.6496","England, United Kingdom",NA,NA,NA
"GLBB-SDN","56.3915","-3.2132","Errol, Perthshire, Scotland","57.91667","-5.2","Ardmair, Cromartyshire, Scotland"
"GJJ1-5VZ","55.9535","-3.1892","Edinburgh, Midlothian, Scotland","56.81674","-4.18396","Scotland"
"GF48-PLR","55.55","-3.83333","Douglas Castle, Lanarkshire, Scotland","55.55","-3.83333","Douglas Castle,Lanarkshire,Scotland"
"K6HS-Q5N","55.66897","-3.78367","Lanarkshire, Scotland","55.669","-3.7837","Lanarkshire, Scotland"
"GFRX-W2F","56.2","-3.21667","Leslie, Fife, Scotland",NA,NA,NA
"GNVS-NLD","56.4","-3.4333","Perth, Perthshire, Scotland","52.4379","-1.6496","England"
"G2GF-QJY","56.04752","-2.77804","Dirleton Castle, Haddingtonshire, Scotland","56.3625","-3.6154","Gask, Perthshire, Scotland"
"MQD4-XMH","55.5573","-3.8475","Douglas, Lanarkshire, Scotland","56.04752","-2.77804","Dirleton Castle, East Lothian, Scotland"
"9WHQ-5SN","52.04219","-2.42494","Ledbury, Herefordshire, England",NA,NA,NA
