"fid","parent","gender"
"26KX-2QL","LHJB-79B","Male"
"26KX-2QL","LCT8-QNC","Female"
"273X-SBR","GQMW-PWZ","Male"
"273X-SBR","GGFW-Q4J","Female"
"278F-RNV","L6RK-YWH","Male"
"278F-RNV","LK7C-FCM","Female"
"27CW-6PJ","LTJP-R2B","Male"
"27CW-6PJ","KN45-N43","Female"
"2YR3-9WH","LZKW-MTM","Male"
"2YR3-9WH","9C3R-L5W","Female"
"2ZVG-C1Y","G66S-SCH","Male"
"2ZVG-C1Y","G66S-3B4","Female"
"49D5-G9D","GHK1-TNK","Male"
"49D5-G9D","GHK1-BWQ","Female"
"93R2-71L","LR9T-GCT","Male"
"93R2-71L","LR9T-K1H","Female"
"975Y-VNS","LR24-1R6","Male"
"975Y-VNS","LR24-119","Female"
"99VR-N9X","LJKW-RPX","Male"
"99VR-N9X","L6CH-WM6","Female"
"9C6H-5QW","LRF8-WJK","Male"
"9C6H-5QW","LBZT-DHR","Female"
"9CGX-RJ1","G6R2-1WH","Male"
"9CGX-RJ1","LCPP-SSN","Female"
"9CGX-YKZ","9XB1-8XY","Male"
"9CGX-YKZ","CM5F-GC5","Female"
"9K8F-NLV","L6NP-M1F","Male"
"9K8F-NLV","LCPT-7FB","Female"
"9K9R-YXL","LJRL-VNW","Male"
"9K9R-YXL","MLZ1-77R","Female"
"9VYQ-PLB","MNRR-2MB","Male"
"9VYQ-PLB","LWFP-CP3","Female"
"G3MX-HN7","KNHW-GLH","Male"
"G3MX-HN7","KNHW-9PW","Female"
"G42S-HZ6","GF9V-VZN","Male"
"G666-CGR","KJ8X-NGY","Male"
"G666-CGR","LWX6-TXF","Female"
"G6HS-Q8X","G7VG-31P","Male"
"G6WC-DLQ","KG96-W77","Male"
"G6WC-DLQ","GNVZ-N82","Female"
"G9DN-BSQ","LRCB-TVV","Male"
"G9DN-BSQ","LRC1-3M6","Female"
"GCS7-DSP","LCRS-Q5T","Male"
"GCS7-DSP","93F2-MRS","Female"
"GCWG-92Z","LVZ8-W44","Male"
"GCWG-92Z","GFT8-D7Q","Female"
"GH1X-GCC","KHWJ-XWX","Male"
"GH1X-GCC","MM2Q-PB3","Female"
"GH2D-CFB","G8Y9-1P8","Male"
"GH2D-CFB","MMB4-B4K","Female"
