"fid","distance","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"218G-SHK",107779.611807731,52.51284,-1.45752,"Kexbie,Kexbie Hall,England",53.36667,-0.7,"Upton, Lincolnshire, England"
"218J-SZZ",173134.293230607,56,10,"Denmark",54.47,9.51,"Holstein, Schleswig-Holstein, Schleswig-Holstein, Tyskland"
"2472-Q4C",5204826.74517173,51.9888,-2.0249,"Alstone, Gloucestershire, England",41.48975,-71.31315,"Newport, Newport, Rhode Island, British Colonial America"
"24BS-TNZ",814696.843705007,50.984,-4.2764,"Alwington, Devonshire, England",45.6234,3.2301,"Parent, Puy-de-Dome, Auvergne, France"
"24LC-9QS",132026.870402298,55.75,-3.25,"Peebles-shire, Scotland",56.81674,-4.18396,"Scotland"
"24MT-NPT",153000.269151798,50.7205,-2.5944,"Kingston Russell, Dorset, England",52.06667,-2.15,"Strensham, Worcestershire, England"
"24MT-X2V",314289.259211212,53.5072,-2.5372,"Westleigh, Lancashire, England",50.7487,-1.5569,"Pennington, Lancashire, England, United Kingdom"
"24R3-34W",5486752.20422299,51.51,-0.12,"London, England",40.86667,-72.8,"Barren Island, Suffolk, New York Colony, British Colonial America"
"24RF-MGL",224985.72340603,50.7459,-3.2824,"Ottery St Mary, Devon, England",51.26057,-0.17624,"Gatton, Surrey, England"
"267Y-B3F",994760.307727609,49.5145,5.7693,"Longwy, Meurthe-et-Moselle, Lorraine, France",41.903,12.4963,"Rome, Lazio, Italy"
"26G1-K7G",167051.467787263,51.5006,0.2528,"Aveley, Essex, England",52.4379,-1.6496,"England"
"26KN-78L",346637.654254583,55.5479,-1.9148,"Chatton, Northumberland, England",52.4379,-1.6496,"England"
"26LN-WN5",6017126.17892666,51.51,-0.12,"London, England",36.7101,-76.303,"Lower Norfolk, Virginia, British Colonial America"
"26LW-M45",297933.636008339,50.766,-2.14508,"Dorset, England",53.44122,-2.01655,"Broadbottom, Cheshire, England"
"2733-2HD",358167.773652117,51.22608,0.75054,"Kent, England",53.5041,-2.9724,"Sefton, Lancashire, England"
"2734-4MJ",142693.697424954,51.30014,-2.60593,"Chewton, Somerset, England",52.4379,-1.6496,"England"
"2736-LNS",185666.32298251,58.2698,-6.6822,"Isle of Lewis, Ross-shire, Scotland",56.63333,-6.08333,"Blooy Bay, Tobermory, Argyll, Scotland"
"2738-314",544834.470928367,52.515,1.6614,"Somerleyton, Suffolk, England",48.0444,-1.4603,"Saint-Aubin-du-Pavail, Ille-et-Vilaine, Bretagne, France"
"2738-3B4",127811.453535178,52.0274,-0.4951,"Ampthill, Bedfordshire, England",52.77951,-1.91711,"Staffordshire, England"
"273M-LCG",281880.292555612,50.31554,7.80383,"Nassau, Hessen Nassau, Prussia",52.5,5.75,"Netherlands"
"273M-YNB",613759.826376755,54.38216,-2.77954,"Westmorland, England",49.9167,2.5,"Somme, Picardie, France"
"2759-854",481881.497846489,38.86667,-78.6,"Fredrick City, Shenandoah, Virginia, British Colonies",36.15,-82.85,"Bledsoe, Greene, Tennessee, United States"
"2759-XPY",222077.401544176,35.6,-85.21667,"of Bledsoe Co., Tenn",36.15,-82.85,"Green City, Bledsoe, Tennessee, United States"
"277W-2FK",301628.053533011,52.06666,0.71666,"Kentwell, Suffolk, England",53.811,-2.7249,"Broughton, Lancashire, England"
"278F-RNV",146821.492138659,38.41667,-77.46667,"Stafford, Virginia, British Colonial America",38.16667,-79.11667,"Augusta, Virginia, United States"
"278V-D5D",4990937.19106243,50.73646,-3.71887,", Devonshire, England",43.0762,-70.755,"Portsmouth, Rockingham, New Hampshire, British Colonial America"
"278Y-SFL",144218.559165734,52.5338,1.17023,"Ashwellthorpe, Norfolk, England",51.51,-0.12,"London, England"
"279S-JCF",155165.854432136,52.0223,-2.8141,"Hereford, Herefordshire, England",53.1219,-1.4045,"Shirland, Derbyshire, England"
"27BK-MZJ",5356328.86979147,52.0543,1.1559,"Ipswich, Ipswich Borough, Suffolk, England",42.38333,-71.41667,"Sudbury, Middlesex, Massachusetts Bay Colony, British Colonial America"
"27C2-YFT",345229.384406388,54.0474,-2.8016,"Lancaster, Lancashire, England",52.246,1.4091,"Abbey of the Poor Clares, Bruisyard, Suffolk, England"
"27CC-7NW",5008592.36253105,52.33022,-3.76641,"Wales",41.88333,-70.63333,"Plymouth, Plymouth, Massachusetts Bay Colony, British Colonial America"
"27FK-3HG",151136.403465924,53.7,-0.81667,"Saltmarsh,Yorkshire,England",52.4379,-1.6496,",,,England"
"27GX-TXW",628035.93795056,44.8871,10.3415,"Marra, , Emilia-Romagna, Italy",41.25,16.25,"Puglia, Italia"
"27MG-Q4P",132967.084733043,52.67827,0.97259,"Norfolk, England",52.329,-0.904,"Brixworth, Northamptonshire, England"
"27MP-7XS",182272.698599917,53.95878,-1.08248,"Yorkshire, England",52.64306,-2.71362,"Shropshire, England"
"27P4-G81",100766.143698263,41.34583,-72.03028,"Groton, New London, Connecticut Colony, British Colonial America",41.546,-73.208,"Woodbury, Litchfield, Connecticut Colony, British Colonial America"
"27S1-515",5701367.88817432,55.68333,-3.73333,"Cleghorn, South Lanarkshire, Scotland, United Kingdom",36.6932,-76.64129,"Nansemond, Virginia, British Colonial America"
"27S1-6XD",302986.823829786,52.13436,-2.74917,"Herefordshire, England",54.76426,-1.57104,"Witton Castle, Durham, England"
"27S3-RQL",155097.511103745,50.88333,-4.1,"Merton, Devon, England",51.18626,-1.93733,"Maddington, Wiltshire, England"
"27S8-53T",102101.211161035,53.6833,-1.50109,"Wakefield, Yorkshire, England",53.15812,-0.23925,"Lincolnshire, England"
"27SB-KNC",216905.009565566,51.71159,19.6726,"Zielona Góra, Lodzkie, Poland",51.6187,16.5345,"Góra, Dolnoslaskie, Poland"
"27SB-RMR",192791.501615201,55.85,-4.3,"Pollok, Strathclyde, Scotland",57.25,-2.45,"Harlaw, Aberdeenshire, Scotland"
"27SB-RPR",137735.274781326,55.4667,-2.7833,"Liddesdale, Roxburghshire, Scotland",56.5,-4,"Tay Estuary, Perthshire, Scotland"
"27SF-LHT",132592.689785158,54.1705,8.42094,"Dithmarschen, Dithmarschen, Schleswig, Deutschland",52.9794,8.4193,"Oldenburg, Niedersachsen, Deutschland"
"27SL-4CP",118943.710140405,53.44945,-2.22075,"Barlow, Chorlton, Lancashire, England",52.4379,-1.6496,"England"
"27SZ-5ZZ",341341.61052066,50.91375,-0.49033,"Parham, Sussex, England",53.95878,-1.08248,"Yorkshire, England"
"27T9-4TW",128762.372806984,52.4379,-1.6496,"England",52.1228,0.1696,"Sawston, Linton, Cambridgeshire, England"
"27X3-SYD",589904.966369595,51.1733,5.95833,"Merum, Limburg, Netherlands",46.2728,2.8967,"Lorraine, Allier, Auvergne, France"
"27XJ-XM9",189240.593252308,52.4379,-1.6496,"Of, , England",50.766,-2.14508,", Dorsetshire, England"
"284H-2MM",167844.46300557,52.4379,-1.6496,"England",51.85229,0.61466,"Essex, England"
"287C-MLT",262041.895027912,52.1113,0.1838,"Pampisford, Cambridgeshire, England, United Kingdom",54.23333,-1.51667,"Carthorpe, Yorkshire, England, United Kingdom"
"287F-2J1",298966.363572196,51.757,0.2113,"High Laver, Epping, Essex, England, United Kingdom",54.23333,-1.51667,"Carthorpe, North Yorkshire, England, United Kingdom"
"28WM-FQ6",467969.483485391,49.74174,0.51401,"Valmont, Le Havre, Seine-Maritime, Haute-Normandie, France",53.83955,-1.00473,"Skipwith, Yorkshire, England"
"297C-D7N",277318.324757254,56.81674,-4.18396,"Sanford, Westmorland, Scotland",54.53333,-2.41667,"Sandford, Westmorland, England, United Kingdom"
"29CP-4PS",179759.432149841,53.95878,-1.08248,"Yorkshire, England",52.35,-0.85,"Northampton, England"
"29H4-2Y1",251507.65267655,48.5198,4.2907,"Ramerupt, Aube, Champagne-Ardenne, France",50.1097,1.8278,"Abbeville, Somme, Picardie, France"
"29H4-VD7",446324.790653397,48.1767,0.2338,"Ballon, Sarthe, Pays de la Loire, France",51.88419,-2.14462,"Gloucestershire, England"
